,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
46,zastupitelstvo hl. m. Prahy,Ondřej Profant,Schůzky,Schůzka #7778: Schůzka s Jan Kolátor,1.5,,2017-09-29
64,zastupitelstvo hl. m. Prahy,Ondřej Profant,Diskuse,Úkol #1329: Slavnostní zahájení sezony v ZOO,0.75,,2017-09-28
65,zastupitelstvo hl. m. Prahy,Ondřej Profant,Fyzické práce,Úkol #6613: Pomoc s pražskou kampaní do PSP 2017 (kampaň),1.0,,2017-09-28
76,zastupitelstvo hl. m. Prahy,Ondřej Profant,Schůzky,Úkol #2310: Zapojení 8 stážistů do chodu kanceláře,1.0,,2017-09-27
80,Praha,Ondřej Profant,Jednání,Dlouhodobý úkol #1975: Vedení krajského sdružení,1.5,,2017-09-27
102,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Dlouhodobý úkol #429: Zasedání zastupitelstva,2.5,,2017-09-26
103,zastupitelstvo hl. m. Prahy,Ondřej Profant,Příprava dokumentu,Dlouhodobý úkol #6612: Východní část městského okruhu (Blanka 2),0.5,,2017-09-26
104,zastupitelstvo hl. m. Prahy,Ondřej Profant,Schůzky,Schůzka #7109: Schůzka Martin Novák,1.0,,2017-09-26
127,zastupitelstvo hl. m. Prahy,Ondřej Profant,Příprava dokumentu,Dlouhodobý úkol #6612: Východní část městského okruhu (Blanka 2),1.5,,2017-09-25
128,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Úkol #4830: Jednání klubu v roce 2017,1.0,,2017-09-25
161,zastupitelstvo hl. m. Prahy,Ondřej Profant,Příprava dokumentu,Dlouhodobý úkol #6612: Východní část městského okruhu (Blanka 2),0.5,,2017-09-24
173,zastupitelstvo hl. m. Prahy,Ondřej Profant,Fyzické práce,Úkol #6613: Pomoc s pražskou kampaní do PSP 2017 (kampaň),1.0,,2017-09-23
184,zastupitelstvo hl. m. Prahy,Ondřej Profant,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.5,,2017-09-22
227,zastupitelstvo hl. m. Prahy,Ondřej Profant,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,1.0,,2017-09-20
244,zastupitelstvo hl. m. Prahy,Ondřej Profant,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,1.0,,2017-09-19
268,zastupitelstvo hl. m. Prahy,Ondřej Profant,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),1.0,,2017-09-18
