,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
282,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Příprava dokumentu,Úkol #9899: Městská policie obecně,1.1,,2018-03-15
292,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Školení a sebevzdělávání,Dlouhodobý úkol #477: Vykazování práce pro MHMP,3.5,,2018-03-15
293,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Školení a sebevzdělávání,Úkol #9899: Městská policie obecně,1.0,,2018-03-15
294,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Mediální výstupy,Úkol #9899: Městská policie obecně,2.0,,2018-03-15
314,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Administrativa,Dlouhodobý úkol #658: Administrativa,3.5,,2018-03-14
315,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,1.5,,2018-03-14
316,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,1.0,,2018-03-14
349,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Administrativa,Dlouhodobý úkol #658: Administrativa,4.5,,2018-03-13
350,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Úkol #3499: Evropské fondy - základní seznámení,0.5,,2018-03-13
376,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Schůzky,Úkol #304: Komunikace s občany,3.0,,2018-03-12
377,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Telefon,Dlouhodobý úkol #598: Telefonická komunikace,0.2,,2018-03-12
378,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.15,,2018-03-12
402,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Příprava dokumentu,Dlouhodobý úkol #8722: Úspěch v pražských komunálních volbách 2018,3.5,,2018-03-11
441,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Dlouhodobý úkol #9138: Jednání klubu 2018,0.5,,2018-03-08
442,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Úkol #9899: Městská policie obecně,1.0,,2018-03-08
443,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Dlouhodobý úkol #3209: Výbor pro evropské fondy,0.5,,2018-03-08
444,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Dlouhodobý úkol #4176: Fungování magistrátu,2.5,,2018-03-08
467,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Dlouhodobý úkol #182: Jednání klubu,0.2,,2018-03-07
468,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Úkol #3499: Evropské fondy - základní seznámení,3.0,,2018-03-07
513,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Jednání,Úkol #304: Komunikace s občany,1.2,,2018-03-05
549,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.15,,2018-03-02
550,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,1.0,,2018-03-02
568,zastupitelstvo hl. m. Prahy,Ivan Mikoláš,Telefon,Úkol #304: Komunikace s občany,1.0,,2018-03-01
