,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
1,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.5,,2018-06-30
24,zahraniční odbor,Markéta Gregorová,Jednání,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.25,,2018-06-29
25,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.5,,2018-06-29
26,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.0,,2018-06-29
55,zahraniční odbor,Markéta Gregorová,Schůzky,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.5,,2018-06-28
56,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.5,,2018-06-28
89,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,3.0,,2018-06-28
106,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.5,,2018-06-27
159,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,3.0,,2018-06-26
160,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.0,,2018-06-26
206,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,3.0,,2018-06-25
227,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.0,,2018-06-24
258,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.0,,2018-06-22
285,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.5,,2018-06-21
333,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.5,,2018-06-20
383,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.0,,2018-06-19
454,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.5,,2018-06-17
463,zahraniční odbor,Markéta Gregorová,Schůzky,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,4.0,,2018-06-16
482,zahraniční odbor,Markéta Gregorová,Schůzky,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,3.0,,2018-06-15
483,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.0,,2018-06-15
510,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.0,,2018-06-14
554,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,3.5,,2018-06-13
661,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.3,,2018-06-11
662,zahraniční odbor,Markéta Gregorová,Příprava dokumentu,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.5,,2018-06-11
663,zahraniční odbor,Markéta Gregorová,Jednání,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.25,,2018-06-11
683,zahraniční odbor,Markéta Gregorová,Cesta,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,7.0,,2018-06-10
684,zahraniční odbor,Markéta Gregorová,Příprava dokumentu,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.5,,2018-06-10
697,zahraniční odbor,Markéta Gregorová,Přednáška a popularizace,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,7.0,,2018-06-09
718,zahraniční odbor,Markéta Gregorová,Cesta,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,10.0,,2018-06-08
728,zahraniční odbor,Markéta Gregorová,Příprava dokumentu,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.75,,2018-06-08
729,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.5,,2018-06-08
730,zahraniční odbor,Markéta Gregorová,Příprava dokumentu,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.4,,2018-06-08
749,zahraniční odbor,Markéta Gregorová,Příprava dokumentu,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,3.5,,2018-06-07
750,zahraniční odbor,Markéta Gregorová,Příprava dokumentu,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.0,,2018-06-07
783,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,2.0,,2018-06-06
851,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.5,,2018-06-05
852,zahraniční odbor,Markéta Gregorová,Schůzky,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.75,,2018-06-05
858,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,0.75,,2018-06-05
868,zahraniční odbor,Markéta Gregorová,Schůzky,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.0,,2018-06-04
912,zahraniční odbor,Markéta Gregorová,Administrativa,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.0,,2018-06-02
928,zahraniční odbor,Markéta Gregorová,Schůzky,Dlouhodobý úkol #9466: Vedoucí ZO - výkaz práce,1.0,,2018-06-01
