,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
6,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Příprava dokumentu,Úkol #2311: Pirátské listy 2016,1.0,,2016-07-30
7,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Příprava dokumentu,Dlouhodobý úkol #686: Šíření informací a sdílení zkušeností,0.5,,2016-07-30
28,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Schůzky,Dlouhodobý úkol #686: Šíření informací a sdílení zkušeností,2.0,,2016-07-27
29,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Příprava dokumentu,Úkol #2311: Pirátské listy 2016,0.5,,2016-07-27
30,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Mediální výstupy,Dlouhodobý úkol #165: Mediální výstupy,0.25,,2016-07-27
35,mediální odbor,Mikuláš Ferjenčík,Příprava dokumentu,Dlouhodobý úkol #3290: Grafický set,0.25,,2016-07-26
36,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Příprava dokumentu,Úkol #2311: Pirátské listy 2016,1.0,,2016-07-26
57,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Mediální výstupy,Dlouhodobý úkol #165: Mediální výstupy,0.25,,2016-07-24
84,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Schůzky,Dlouhodobý úkol #686: Šíření informací a sdílení zkušeností,0.5,,2016-07-21
85,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Mediální výstupy,Dlouhodobý úkol #165: Mediální výstupy,1.0,,2016-07-21
86,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.5,,2016-07-21
87,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Cesta,Schůzka #3517: Schůzka s Martinem Gillarem,0.5,,2016-07-21
88,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Schůzky,Schůzka #3517: Schůzka s Martinem Gillarem,1.0,,2016-07-21
89,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Diskuse,Úkol #2311: Pirátské listy 2016,0.5,,2016-07-21
90,mediální odbor,Mikuláš Ferjenčík,Příprava dokumentu,Dlouhodobý úkol #3290: Grafický set,2.5,,2016-07-21
110,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.5,,2016-07-20
111,zastupitelstvo hl. m. Prahy,Mikuláš Ferjenčík,Mediální výstupy,Dlouhodobý úkol #165: Mediální výstupy,0.25,,2016-07-20
112,technický odbor,Mikuláš Ferjenčík,Diskuse,Úkol #3382: Webařský tým - celostátní web,0.5,,2016-07-20
