,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
6,parlamentní tým,Jakub Michálek,Diskuse,Úkol #3379: Program pro sněmovní volby 2017,0.85,,2016-10-31
7,zastupitelstvo hl. m. Prahy,Jakub Michálek,Mediální výstupy,Dlouhodobý úkol #165: Mediální výstupy,1.0,,2016-10-31
8,zastupitelstvo hl. m. Prahy,Jakub Michálek,Příprava dokumentu,Úkol #1072: Studium situace k bankovním kartám v přepravě,1.0,,2016-10-31
9,zastupitelstvo hl. m. Prahy,Jakub Michálek,Jednání,Dlouhodobý úkol #2590: Jednání klubu 2016,1.33,,2016-10-31
48,zastupitelstvo hl. m. Prahy,Jakub Michálek,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.5,,2016-10-30
56,zastupitelstvo hl. m. Prahy,Jakub Michálek,Příprava dokumentu,Úkol #3566: Dokončit příručku - zaměstnanecká díla,2.0,,2016-10-29
63,Praha,Jakub Michálek,Příprava dokumentu,Úkol #2578: Rozpočtový výhled krajského sdružení,5.0,,2016-10-28
73,republikový výbor,Jakub Michálek,Příprava dokumentu,Úkol #3377: Pirátská strategie,3.0,,2016-10-27
74,zastupitelstvo hl. m. Prahy,Jakub Michálek,Příprava dokumentu,Úkol #3566: Dokončit příručku - zaměstnanecká díla,0.5,,2016-10-27
75,parlamentní tým,Jakub Michálek,Studium podkladů,Úkol #3884: Klausova amnestie - žádost o informace,1.33,,2016-10-27
76,zastupitelstvo hl. m. Prahy,Jakub Michálek,Příprava dokumentu,Úkol #4348: Návrh zákona - poplatek pro developery ze zhodnocení ceny pozemku při změně územního plánu,0.5,,2016-10-27
77,zastupitelstvo hl. m. Prahy,Jakub Michálek,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.5,,2016-10-27
78,zastupitelstvo hl. m. Prahy,Jakub Michálek,Diskuse,Naše žádost #3827: Žádost o informace – životopis Jana Slezáka,1.0,,2016-10-27
79,finanční odbor,Jakub Michálek,Schůzky,Úkol #4256: Nový vedoucí finančního odboru a sestavení týmu,1.0,,2016-10-27
90,republikový výbor,Jakub Michálek,Příprava dokumentu,Úkol #3377: Pirátská strategie,2.5,,2016-10-26
91,zastupitelstvo hl. m. Prahy,Jakub Michálek,Cesta,Dlouhodobý úkol #1796: Členství ve školské radě VOŠIŠ,1.5,,2016-10-26
92,zastupitelstvo hl. m. Prahy,Jakub Michálek,Jednání,Dlouhodobý úkol #1796: Členství ve školské radě VOŠIŠ,0.75,"ch) jednání z pověření­ komise Rady, výboru Zastupitelstva nebo uvolněného člena Zastupitelstva",2016-10-26
140,právní tým,Jakub Michálek,Příprava dokumentu,Úkol #3958: Kauza Sledujuserialy.cz - trestní stíhání Pirátské strany,0.5,,2016-10-24
141,personální odbor,Jakub Michálek,Příprava dokumentu,Úkol #4140: Síť krajských koordinátorů - vytvoření,5.0,,2016-10-24
148,zastupitelstvo hl. m. Prahy,Jakub Michálek,Schůzky,Dlouhodobý úkol #686: Šíření informací a sdílení zkušeností,1.75,,2016-10-23
149,finanční odbor,Jakub Michálek,Schůzky,Úkol #4256: Nový vedoucí finančního odboru a sestavení týmu,0.75,,2016-10-23
191,zastupitelstvo hl. m. Prahy,Jakub Michálek,Jednání,Dlouhodobý úkol #429: Zasedání zastupitelstva,0.5,,2016-10-20
