,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
9,zastupitelstvo hl. m. Prahy,Ondřej Profant,Školení a sebevzdělávání,Dlouhodobý úkol #4313: Tématické IT konference,1.0,,2016-11-30
10,zastupitelstvo hl. m. Prahy,Ondřej Profant,Schůzky,Úkol #3584: Rozvoj otevřených měst,0.5,,2016-11-30
11,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Úkol #3584: Rozvoj otevřených měst,2.25,,2016-11-30
12,zastupitelstvo hl. m. Prahy,Ondřej Profant,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.5,,2016-11-30
13,technický odbor,Ondřej Profant,Jednání,Dlouhodobý úkol #3299: Aplikace pro podporu finačního odboru (FO),1.0,,2016-11-30
48,zastupitelstvo hl. m. Prahy,Ondřej Profant,Cesta,Úkol #3269: Rozvoj celopražských otevřených dat (opendat),1.5,,2016-11-29
49,zastupitelstvo hl. m. Prahy,Ondřej Profant,Cesta,Úkol #3269: Rozvoj celopražských otevřených dat (opendat),1.5,,2016-11-29
50,zastupitelstvo hl. m. Prahy,Ondřej Profant,Schůzky,Úkol #3269: Rozvoj celopražských otevřených dat (opendat),1.5,,2016-11-29
66,zastupitelstvo hl. m. Prahy,Ondřej Profant,Studium podkladů,Úkol #2975: Metropolitní plán (nový územní plán),0.5,,2016-11-29
67,finanční odbor,Ondřej Profant,Administrativa,Podání #4468: převod PaRo Pirátské listy,0.1,,2016-11-29
94,zastupitelstvo hl. m. Prahy,Ondřej Profant,Studium podkladů,Schůzka #3817: Schůzka s Pavlou Tůmovou ohledně privatizace domů v Praze - Libuši,0.4,,2016-11-28
95,zastupitelstvo hl. m. Prahy,Ondřej Profant,Příprava dokumentu,Úkol #3269: Rozvoj celopražských otevřených dat (opendat),0.6,,2016-11-28
96,Praha,Ondřej Profant,Telefon,Dlouhodobý úkol #2719: Kandidáti do senátu,0.25,,2016-11-28
97,zastupitelstvo hl. m. Prahy,Ondřej Profant,Schůzky,Dlouhodobý úkol #3271: Výbor a komise pro Smart City (cities),0.6,,2016-11-28
98,zastupitelstvo hl. m. Prahy,Ondřej Profant,Administrativa,Dlouhodobý úkol #597: E-mailová komunikace,0.4,,2016-11-28
99,zastupitelstvo hl. m. Prahy,Ondřej Profant,Diskuse,Programový cíl #112: Jednotný systém parkování,2.5,,2016-11-28
100,Městské části Prahy,Ondřej Profant,Schůzky,Úkol #2420: Praha 6,1.0,,2016-11-28
101,technický odbor,Ondřej Profant,Administrativa,Podání #4456: souhlas s paro,0.3,,2016-11-28
130,Městské části Prahy,Ondřej Profant,Telefon,Úkol #2001: Praha 7,0.5,,2016-11-25
131,Praha,Ondřej Profant,Studium podkladů,Dlouhodobý úkol #2719: Kandidáti do senátu,2.0,,2016-11-25
134,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,1.25,,2016-11-25
135,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,5.25,,2016-11-25
148,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,10.0,,2016-11-24
177,zastupitelstvo hl. m. Prahy,Ondřej Profant,Administrativa,Dlouhodobý úkol #914: Vykazování úkolů,0.6,,2016-11-23
178,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Dlouhodobý úkol #3271: Výbor a komise pro Smart City (cities),1.5,d) účast na jednání komisí Rady,2016-11-23
179,zastupitelstvo hl. m. Prahy,Ondřej Profant,Studium podkladů,Dlouhodobý úkol #3271: Výbor a komise pro Smart City (cities),1.5,,2016-11-23
211,zastupitelstvo hl. m. Prahy,Ondřej Profant,Diskuse,Úkol #3269: Rozvoj celopražských otevřených dat (opendat),0.5,,2016-11-22
212,zastupitelstvo hl. m. Prahy,Ondřej Profant,Studium podkladů,Dlouhodobý úkol #3271: Výbor a komise pro Smart City (cities),2.0,,2016-11-22
216,zastupitelstvo hl. m. Prahy,Ondřej Profant,Školení a sebevzdělávání,Dlouhodobý úkol #3271: Výbor a komise pro Smart City (cities),4.5,h) účast na seminářích,2016-11-22
226,Praha,Ondřej Profant,Administrativa,Úkol #4431: Odměny zastupitelů 10/2016 (všichni) + 09/2016 MF,0.1,,2016-11-22
252,technický odbor,Ondřej Profant,Schůzky,Úkol #3382: Webařský tým - celostátní web,0.4,,2016-11-21
253,technický odbor,Ondřej Profant,Cesta,Dlouhodobý úkol #3299: Aplikace pro podporu finačního odboru (FO),0.3,,2016-11-21
254,technický odbor,Ondřej Profant,Schůzky,Dlouhodobý úkol #3299: Aplikace pro podporu finačního odboru (FO),0.75,,2016-11-21
255,zastupitelstvo hl. m. Prahy,Ondřej Profant,Schůzky,Schůzka #3261: Schůzka s Matrinem Šeberou ohledně TETRA,0.75,,2016-11-21
256,technický odbor,Ondřej Profant,E-mail,Dlouhodobý úkol #3419: Správa identit,0.3,,2016-11-21
257,zastupitelstvo hl. m. Prahy,Ondřej Profant,Studium podkladů,Úkol #4407: Rozpočet hl. m. Prahy 2017,0.6,,2016-11-21
260,zastupitelstvo hl. m. Prahy,Ondřej Profant,Jednání,Dlouhodobý úkol #4352: Jednání klubu 2016a,2.8,,2016-11-21
265,zastupitelstvo hl. m. Prahy,Ondřej Profant,Příprava dokumentu,Úkol #3269: Rozvoj celopražských otevřených dat (opendat),0.25,,2016-11-20
266,zastupitelstvo hl. m. Prahy,Ondřej Profant,Administrativa,Dlouhodobý úkol #914: Vykazování úkolů,0.5,,2016-11-20
268,zastupitelstvo hl. m. Prahy,Ondřej Profant,Studium podkladů,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,0.75,,2016-11-20
269,technický odbor,Ondřej Profant,Návrh software,Dlouhodobý úkol #3274: Informační systémy (aplikace),1.0,,2016-11-20
