,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
29,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-30
30,parlamentní tým,Vít Šimral,Studium podkladů,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.5,,2016-12-30
69,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),3.5,,2016-12-29
97,parlamentní tým,Vít Šimral,Schůzky,Úkol #3458: Volby 2017 (7/16 - 02/17),1.5,,2016-12-28
98,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2016-12-28
108,analytický tým,Vít Šimral,Příprava dokumentu,Úkol #4351: Průzkum - co si lidé myslí - v terénu (Piráti do Hospod),1.5,,2016-12-27
109,parlamentní tým,Vít Šimral,Studium podkladů,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2016-12-27
110,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-27
136,parlamentní tým,Vít Šimral,Studium podkladů,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.5,,2016-12-23
151,republikové předsednictvo,Vít Šimral,Schůzky,Podání #3971: Výběrové řízení na řešení prodeje propagačních předmětů,2.5,,2016-12-22
181,analytický tým,Vít Šimral,Příprava dokumentu,Úkol #4351: Průzkum - co si lidé myslí - v terénu (Piráti do Hospod),1.5,,2016-12-21
219,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-20
220,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-20
221,republikové předsednictvo,Vít Šimral,Schůzky,Podání #3971: Výběrové řízení na řešení prodeje propagačních předmětů,2.5,,2016-12-20
255,analytický tým,Vít Šimral,Příprava dokumentu,Úkol #4351: Průzkum - co si lidé myslí - v terénu (Piráti do Hospod),2.5,,2016-12-19
258,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-19
320,analytický tým,Vít Šimral,Příprava dokumentu,Úkol #4351: Průzkum - co si lidé myslí - v terénu (Piráti do Hospod),2.0,,2016-12-16
321,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-16
322,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2016-12-16
343,republikové předsednictvo,Vít Šimral,E-mail,Podání #3971: Výběrové řízení na řešení prodeje propagačních předmětů,1.0,,2016-12-15
365,parlamentní tým,Vít Šimral,Jednání,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),7.5,,2016-12-14
394,analytický tým,Vít Šimral,Schůzky,Úkol #4351: Průzkum - co si lidé myslí - v terénu (Piráti do Hospod),2.0,,2016-12-13
395,parlamentní tým,Vít Šimral,Schůzky,Úkol #3458: Volby 2017 (7/16 - 02/17),2.0,,2016-12-13
396,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),4.5,,2016-12-13
428,parlamentní tým,Vít Šimral,Studium podkladů,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-12
429,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2016-12-12
430,republikové předsednictvo,Vít Šimral,Schůzky,Podání #3971: Výběrové řízení na řešení prodeje propagačních předmětů,2.0,,2016-12-12
473,parlamentní tým,Vít Šimral,Studium podkladů,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.75,,2016-12-09
474,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.5,,2016-12-09
515,parlamentní tým,Vít Šimral,Příprava dokumentu,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.5,,2016-12-08
516,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.75,,2016-12-08
553,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2016-12-07
554,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.75,,2016-12-07
565,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2016-12-06
569,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-06
570,parlamentní tým,Vít Šimral,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.0,,2016-12-06
588,parlamentní tým,Vít Šimral,Studium podkladů,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-05
589,parlamentní tým,Vít Šimral,Schůzky,Úkol #3458: Volby 2017 (7/16 - 02/17),1.0,,2016-12-05
590,parlamentní tým,Vít Šimral,E-mail,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),1.5,,2016-12-05
605,parlamentní tým,Vít Šimral,Studium podkladů,Úkol #3458: Volby 2017 (7/16 - 02/17),1.5,,2016-12-03
606,finanční odbor,Vít Šimral,Příprava dokumentu,Úkol #4156: Záměr: Platební brána,1.0,,2016-12-03
614,republikové předsednictvo,Vít Šimral,Schůzky,Podání #3971: Výběrové řízení na řešení prodeje propagačních předmětů,2.0,,2016-12-02
616,parlamentní tým,Vít Šimral,Jednání,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),4.5,,2016-12-02
